assembly_contig	length	n_genome_ids	primary_genome	primary_aligned_bp	secondary_genome	secondary_aligned_bp	chimera_threshold_bp	cross_binid_chimera	has_accepted_alignment
k141_10106	2026	1	ASV507.11	1994		0	1000	false	true
k141_10114	1855	2	ASV486.6	1855	ASV476.8	1855	1000	true	true
k141_10115	2386	1	ASV487.10	2386		0	1000	false	true
k141_10117	1161	2	ASV486.6	1161	ASV476.8	1161	1000	true	true
k141_10118	1597	1	ASV102.10	1597		0	1000	false	true
k141_1012	1658	1	ASV579.0	1658		0	1000	false	true
k141_10124	3046	1	ASV102.10	3046		0	1000	false	true
k141_10126	5337	2	ASV153.8	5337	ASV102.10	5337	1000	true	true
k141_10136	1284	1	ASV579.0	1284		0	1000	false	true
k141_10141	1124	2	ASV153.8	1124	ASV102.10	1120	1000	true	true
k141_1015	1233	1	ASV300.8	1233		0	1000	false	true
k141_10150	1154	1	ASV300.8	1154		0	1000	false	true
k141_10155	1668	1	ASV300.8	1668		0	1000	false	true
k141_10156	1441	2	ASV507.9	1441	ASV507.11	1441	1000	true	true
k141_10157	2224	1	ASV487.10	2224		0	1000	false	true
k141_10158	1444	1	ASV102.10	1444		0	1000	false	true
k141_1016	1171	1	ASV579.0	1171		0	1000	false	true
k141_10166	2778	2	ASV153.8	2778	ASV102.10	2778	1000	true	true
k141_1017	1494	1	ASV507.1	1494		0	1000	false	true
k141_10171	2036	1	ASV507.11	1918		0	1000	false	true
k141_10172	1808	1	ASV426.8	1808		0	1000	false	true
k141_10176	1503	1	ASV579.0	1503		0	1000	false	true
k141_10179	1175	2	ASV153.8	1175	ASV102.10	1175	1000	true	true
k141_10182	1621	3	vASV79.0	1621	vASV71.0	1621	1000	true	true
k141_10185	1870	3	ASV456.0	1870	ASV431.3	1870	1000	true	true
k141_10186	1794	1	ASV507.11	1794		0	1000	false	true
k141_10197	6045	1	ASV387.0	6045		0	1000	false	true
k141_10199	2838	2	ASV487.10	2838	ASV507.0	2769	1000	true	true
k141_10200	1185	2	ASV486.6	1185	ASV476.8	1185	1000	true	true
k141_10206	1079	2	ASV507.1	1068	ASV507.3	1065	1000	true	true
k141_1021	1816	1	ASV579.0	1816		0	1000	false	true
k141_10211	1690	1	ASV300.8	1690		0	1000	false	true
k141_10212	7130	1	ASV487.10	7130		0	1000	false	true
k141_10213	1475	1	ASV387.0	1475		0	1000	false	true
k141_10215	1396	1	ASV507.11	1229		0	1000	false	true
k141_1022	1555	0		0		0	1000	false	false
k141_10221	1367	1	ASV399.6	1367		0	1000	false	true
k141_10224	5462	2	ASV153.8	5462	ASV102.10	5462	1000	true	true
k141_10225	3240	1	ASV300.8	3240		0	1000	false	true
k141_10228	2202	1	ASV487.10	2202		0	1000	false	true
k141_10231	2105	1	ASV300.8	2105		0	1000	false	true
k141_10235	2170	1	ASV399.6	1742		0	1000	false	true
k141_10246	1872	2	ASV507.11	1872	ASV507.9	1852	1000	true	true
k141_10251	3250	2	ASV153.8	3250	ASV102.10	3250	1000	true	true
k141_10253	1053	1	ASV579.0	1053		0	1000	false	true
k141_10254	1286	1	ASV406.4	1286		0	1000	false	true
k141_10255	2302	1	ASV300.8	2108		0	1000	false	true
k141_10261	2753	1	ASV487.10	2753		0	1000	false	true
k141_10265	1857	2	ASV153.8	1857	ASV102.10	1857	1000	true	true
k141_10267	8968	1	ASV487.10	8968		0	1000	false	true
k141_10269	1671	2	ASV486.6	1671	ASV476.8	1671	1000	true	true
k141_10272	1606	1	ASV300.8	1606		0	1000	false	true
k141_10275	1126	2	ASV507.11	1126	ASV507.9	1122	1000	true	true
k141_10276	2236	1	ASV487.10	2236		0	1000	false	true
k141_1028	1123	2	ASV476.8	1123	ASV486.6	1069	1000	true	true
k141_10280	1422	2	ASV153.8	1422	ASV102.10	1422	1000	true	true
k141_10281	1526	2	ASV153.8	1526	ASV102.10	1526	1000	true	true
k141_10283	1717	1	ASV300.8	1717		0	1000	false	true
k141_10287	1037	1	ASV436.0	1037		0	1000	false	true
k141_1029	4488	1	ASV387.0	4488		0	1000	false	true
k141_10290	2529	1	ASV387.0	2529		0	1000	false	true
k141_10292	2172	2	ASV476.8	2172	ASV486.6	2162	1000	true	true
k141_10295	1179	1	ASV426.8	1179		0	1000	false	true
k141_10297	1575	1	ASV300.8	1460		0	1000	false	true
k141_10299	2133	2	ASV486.6	2133	ASV476.8	2133	1000	true	true
k141_10300	1000	2	ASV426.8	770	ASV551.0	563	1000	false	true
k141_10306	1292	1	ASV406.4	1292		0	1000	false	true
k141_10309	1030	2	ASV486.6	1030	ASV476.8	1030	1000	true	true
k141_10310	1081	1	ASV300.8	1081		0	1000	false	true
k141_10311	2210	2	ASV153.8	2210	ASV102.10	2210	1000	true	true
k141_10313	1129	1	ASV406.4	1129		0	1000	false	true
k141_10314	1453	1	ASV476.8	1453		0	1000	false	true
k141_10317	1241	1	ASV387.0	1241		0	1000	false	true
k141_1032	1221	1	ASV406.4	1221		0	1000	false	true
k141_10320	1641	2	ASV476.8	1641	ASV486.6	1628	1000	true	true
k141_10321	1398	2	ASV486.6	1398	ASV476.8	1398	1000	true	true
k141_10325	2727	1	ASV579.0	2727		0	1000	false	true
k141_10329	2434	2	ASV153.8	2434	ASV102.10	2408	1000	true	true
k141_10330	1034	1	ASV579.0	1034		0	1000	false	true
k141_10331	1782	1	ASV579.0	1782		0	1000	false	true
k141_10336	1064	1	ASV487.10	1064		0	1000	false	true
k141_10357	1972	2	ASV153.8	1972	ASV102.10	1972	1000	true	true
k141_10369	1203	1	ASV507.1	1203		0	1000	false	true
k141_10375	1237	1	ASV300.8	1237		0	1000	false	true
k141_10377	1504	1	ASV507.1	1504		0	1000	false	true
k141_10378	1235	2	ASV507.11	1235	ASV507.9	1224	1000	true	true
k141_1038	1564	1	ASV476.8	1564		0	1000	false	true
k141_10380	2664	2	ASV486.6	2664	ASV476.8	2664	1000	true	true
k141_10383	1265	1	ASV300.8	1265		0	1000	false	true
k141_10389	5527	1	ASV387.0	5527		0	1000	false	true
k141_10391	3011	1	ASV487.10	3011		0	1000	false	true
k141_10396	1437	1	ASV102.10	1437		0	1000	false	true
k141_10398	1605	1	ASV300.8	1605		0	1000	false	true
k141_104	1040	1	ASV579.0	1040		0	1000	false	true
k141_10400	1198	2	ASV476.8	1198	ASV486.6	1190	1000	true	true
k141_10403	1321	3	ASV507.1	1316	ASV507.0	1307	1000	true	true
k141_10408	1471	1	ASV102.10	1471		0	1000	false	true
k141_1041	1458	2	ASV153.8	1458	ASV102.10	1458	1000	true	true
k141_10410	2559	2	ASV153.8	2559	ASV102.10	2556	1000	true	true
k141_10413	1116	1	ASV150.14	1116		0	1000	false	true
k141_10414	1040	1	ASV102.10	1040		0	1000	false	true
k141_10415	1685	2	ASV507.1	1685	ASV507.0	1556	1000	true	true
k141_10416	1095	2	ASV486.6	1095	ASV476.8	1095	1000	true	true
k141_1042	3676	1	ASV387.0	3676		0	1000	false	true
k141_10422	2039	3	ASV507.0	2039	ASV507.1	2032	1000	true	true
k141_10423	1223	1	ASV266.11	1223		0	1000	false	true
k141_10430	1130	2	ASV153.8	1130	ASV102.10	1130	1000	true	true
k141_10433	2544	2	ASV507.1	1252	ASV507.11	1118	1000	true	true
k141_10434	1227	2	ASV153.8	917	ASV102.10	917	1000	false	true
k141_10436	1679	1	ASV102.10	1679		0	1000	false	true
k141_10437	1034	1	ASV300.8	1034		0	1000	false	true
k141_10439	1653	1	ASV102.10	1653		0	1000	false	true
k141_10440	1151	1	ASV579.0	1056		0	1000	false	true
k141_10442	1947	2	ASV507.9	1732	ASV507.11	1732	1000	true	true
k141_10446	5091	1	ASV487.10	5091		0	1000	false	true
k141_10447	1384	1	ASV102.10	1384		0	1000	false	true
k141_10452	1987	1	ASV102.10	1987		0	1000	false	true
k141_10460	1125	1	ASV487.10	1125		0	1000	false	true
k141_10463	1282	2	ASV507.11	962	ASV507.9	951	1000	false	true
k141_1047	1629	1	ASV579.0	1629		0	1000	false	true
k141_10471	1206	2	ASV507.3	1206	ASV507.1	1206	1000	true	true
k141_10475	1679	2	ASV486.6	1679	ASV476.8	1679	1000	true	true
k141_10479	5528	2	ASV102.10	5528	ASV153.8	5522	1000	true	true
k141_10480	1051	2	ASV153.8	1051	ASV102.10	1051	1000	true	true
k141_10481	3545	2	ASV153.8	3545	ASV102.10	3545	1000	true	true
k141_10482	1207	2	ASV507.9	1207	ASV507.11	1183	1000	true	true
k141_10485	2258	2	ASV153.8	2258	ASV102.10	2258	1000	true	true
k141_10487	1583	2	ASV507.3	1423	ASV507.9	1171	1000	true	true
k141_10488	1026	1	ASV102.10	1026		0	1000	false	true
k141_10489	1204	2	ASV486.6	1204	ASV476.8	1204	1000	true	true
k141_10491	1644	3	ASV431.3	1644	ASV406.4	1644	1000	true	true
k141_10494	1039	1	ASV507.9	1025		0	1000	false	true
k141_10498	1052	1	ASV399.6	1052		0	1000	false	true
k141_10500	1462	1	ASV300.8	1462		0	1000	false	true
k141_10508	1821	2	ASV507.3	1821	ASV507.1	1821	1000	true	true
k141_1051	1450	1	ASV300.8	1450		0	1000	false	true
k141_10511	1250	2	ASV486.6	1250	ASV476.8	1250	1000	true	true
k141_10512	1168	2	ASV486.6	1168	ASV476.8	1168	1000	true	true
k141_10513	3896	2	ASV507.9	3896	ASV507.11	3896	1000	true	true
k141_10519	1379	1	ASV406.4	1379		0	1000	false	true
k141_10520	2662	2	ASV102.10	2418	ASV153.8	2084	1000	true	true
k141_10522	2668	1	ASV149.0	2668		0	1000	false	true
k141_10529	2902	1	ASV579.0	2902		0	1000	false	true
k141_10537	2515	3	ASV507.3	1769	ASV507.1	1747	1000	true	true
k141_10542	1312	1	ASV476.8	1118		0	1000	false	true
k141_10543	1023	1	ASV399.6	1023		0	1000	false	true
k141_10553	1081	1	ASV102.10	1081		0	1000	false	true
k141_10556	1126	1	ASV507.3	1126		0	1000	false	true
k141_10563	1823	1	ASV579.0	1823		0	1000	false	true
k141_10564	1192	1	ASV300.8	1192		0	1000	false	true
k141_10565	4403	2	ASV153.8	4307	ASV102.10	4307	1000	true	true
k141_1057	1222	1	ASV300.8	1222		0	1000	false	true
k141_10570	2546	1	ASV507.9	2071		0	1000	false	true
k141_10572	2272	1	ASV387.0	2272		0	1000	false	true
k141_10576	1894	1	ASV579.0	1894		0	1000	false	true
k141_10577	1116	2	ASV153.8	1116	ASV102.10	1116	1000	true	true
k141_10579	1136	1	ASV399.6	1136		0	1000	false	true
k141_10586	1094	1	ASV266.11	1094		0	1000	false	true
k141_10587	1130	1	ASV399.6	1120		0	1000	false	true
k141_10588	1595	2	ASV153.8	1595	ASV102.10	1595	1000	true	true
k141_10589	1551	2	ASV102.10	1551	ASV153.8	1496	1000	true	true
k141_10590	1125	1	vASV60.0	1125		0	1000	false	true
k141_10594	1464	1	ASV300.8	1464		0	1000	false	true
k141_10598	1102	1	ASV150.14	663		0	1000	false	true
k141_106	1556	1	ASV102.10	1556		0	1000	false	true
k141_10602	1047	2	ASV102.10	1047	ASV153.8	1045	1000	true	true
k141_10604	1027	2	fASV196.1	1020	fASV195.4	943	1000	false	true
k141_10606	1170	1	ASV487.10	1170		0	1000	false	true
k141_10610	4632	1	ASV102.10	4632		0	1000	false	true
k141_10612	1528	1	ASV300.8	1528		0	1000	false	true
k141_10615	2920	2	ASV153.8	2567	ASV102.10	2567	1000	true	true
k141_1062	1608	2	ASV486.6	1608	ASV476.8	1608	1000	true	true
k141_10623	1970	2	ASV153.8	1970	ASV102.10	1970	1000	true	true
k141_10626	1086	2	ASV476.8	1086	ASV486.6	1084	1000	true	true
k141_10628	1342	2	ASV486.6	1342	ASV476.8	1342	1000	true	true
k141_10633	1184	2	ASV486.6	1184	ASV476.8	1184	1000	true	true
k141_10635	1281	1	ASV300.8	1281		0	1000	false	true
k141_10637	2691	2	ASV486.6	2691	ASV476.8	2691	1000	true	true
k141_10640	3225	1	ASV102.10	3215		0	1000	false	true
k141_10641	2846	2	ASV153.8	2846	ASV102.10	2846	1000	true	true
k141_10642	2154	2	ASV102.10	2154	ASV153.8	2146	1000	true	true
k141_10643	14552	1	ASV487.10	14552		0	1455	false	true
k141_10644	7121	2	ASV153.8	7121	ASV102.10	7121	1000	true	true
k141_1065	2419	1	ASV387.0	2419		0	1000	false	true
k141_10650	1863	1	ASV300.8	1863		0	1000	false	true
k141_10652	1326	1	ASV300.8	1326		0	1000	false	true
k141_10656	1391	2	ASV507.9	1391	ASV507.11	1391	1000	true	true
k141_10657	1041	2	ASV486.6	1041	ASV476.8	1041	1000	true	true
k141_10660	2217	1	ASV487.10	2217		0	1000	false	true
k141_1067	3285	1	ASV102.10	3285		0	1000	false	true
k141_10672	1417	1	ASV476.8	1417		0	1000	false	true
k141_10679	1038	1	ASV426.8	1038		0	1000	false	true
k141_1068	3119	2	ASV102.10	3119	ASV153.8	2108	1000	true	true
k141_10683	1842	1	ASV300.8	1842		0	1000	false	true
k141_10686	1241	1	ASV507.1	1241		0	1000	false	true
k141_10687	1004	1	ASV300.8	1004		0	1000	false	true
k141_10690	1461	2	ASV507.9	1178	ASV507.11	1178	1000	true	true
k141_10692	1042	2	ASV153.8	1042	ASV102.10	1042	1000	true	true
k141_10695	1298	2	ASV153.8	1298	ASV102.10	1298	1000	true	true
k141_1070	4044	2	ASV153.8	4044	ASV102.10	4044	1000	true	true
k141_10703	5028	1	ASV387.0	5028		0	1000	false	true
k141_10707	1409	1	ASV300.8	1409		0	1000	false	true
k141_10714	1999	1	ASV300.8	1999		0	1000	false	true
k141_10715	4354	1	ASV487.10	4354		0	1000	false	true
k141_10718	1034	1	ASV300.8	1034		0	1000	false	true
k141_10724	2019	1	ASV102.10	2019		0	1000	false	true
k141_10727	1130	1	ASV436.0	1130		0	1000	false	true
k141_10729	1115	3	ASV507.1	1115	ASV507.0	1115	1000	true	true
k141_1073	5226	2	ASV150.14	5226	ASV102.10	5226	1000	true	true
k141_10730	1021	1	ASV300.8	1021		0	1000	false	true
k141_10733	1247	3	ASV150.14	1247	ASV266.11	1203	1000	true	true
k141_10743	1468	1	ASV300.8	1468		0	1000	false	true
k141_10747	1374	1	ASV487.10	1374		0	1000	false	true
k141_10750	1613	2	ASV507.3	1605	ASV507.1	1605	1000	true	true
k141_10752	1417	3	ASV507.1	1240	ASV507.3	1168	1000	true	true
k141_10754	1287	1	ASV300.8	1287		0	1000	false	true
k141_10757	1060	1	ASV399.6	1060		0	1000	false	true
k141_10759	3991	1	ASV102.10	3991		0	1000	false	true
k141_10761	2113	3	ASV507.3	2113	ASV507.1	2113	1000	true	true
k141_10762	1214	1	ASV300.8	1214		0	1000	false	true
k141_10768	1009	2	ASV486.6	797	ASV476.8	797	1000	false	true
k141_10769	2104	1	ASV300.8	2104		0	1000	false	true
k141_10770	2488	1	ASV300.8	2488		0	1000	false	true
k141_10771	7547	1	ASV387.0	7547		0	1000	false	true
k141_10772	1902	3	ASV507.1	1902	ASV507.3	1874	1000	true	true
k141_10777	2313	1	ASV507.11	2313		0	1000	false	true
k141_10782	1247	1	ASV300.8	1247		0	1000	false	true
k141_10785	1017	1	ASV300.8	1017		0	1000	false	true
k141_10790	1615	1	ASV487.10	1615		0	1000	false	true
k141_10794	1856	2	ASV486.6	1856	ASV476.8	1856	1000	true	true
k141_10796	1693	1	ASV102.10	1693		0	1000	false	true
k141_108	1009	1	ASV266.11	1009		0	1000	false	true
k141_10800	1006	2	ASV507.9	1006	ASV507.11	1006	1000	true	true
k141_10802	2604	1	ASV102.10	2604		0	1000	false	true
k141_10805	1227	1	ASV406.4	1227		0	1000	false	true
k141_10806	3383	1	ASV487.10	3383		0	1000	false	true
k141_1081	2494	4	ASV507.0	2188	ASV507.3	2140	1000	true	true
k141_10813	1240	3	ASV507.3	1240	ASV507.1	1240	1000	true	true
k141_10817	1110	1	ASV579.0	1110		0	1000	false	true
k141_1082	4846	1	ASV487.10	4846		0	1000	false	true
k141_10821	1156	2	ASV507.3	1131	ASV507.1	1131	1000	true	true
k141_10828	3515	2	ASV507.1	2793	ASV507.0	955	1000	false	true
k141_10833	1462	2	ASV476.8	1462	ASV486.6	1458	1000	true	true
k141_10836	1239	1	ASV487.10	1239		0	1000	false	true
k141_10840	2711	1	ASV300.8	2711		0	1000	false	true
k141_10842	1032	1	ASV436.0	1032		0	1000	false	true
k141_10843	1437	3	ASV507.3	1359	ASV507.0	1353	1000	true	true
k141_10844	1181	1	ASV300.8	1181		0	1000	false	true
k141_1085	1260	2	ASV153.8	1260	ASV102.10	1260	1000	true	true
k141_10856	3221	1	ASV487.10	3221		0	1000	false	true
k141_10857	1462	1	ASV487.10	1462		0	1000	false	true
k141_1086	2289	2	ASV102.10	2289	ASV153.8	2288	1000	true	true
k141_10864	1332	3	ASV507.3	1332	ASV507.0	1332	1000	true	true
k141_10867	1190	1	ASV300.8	1190		0	1000	false	true
k141_10870	1411	2	ASV153.8	1411	ASV102.10	1411	1000	true	true
k141_10874	1147	2	ASV153.8	1147	ASV102.10	1147	1000	true	true
k141_10879	1261	2	ASV507.1	1261	ASV507.3	1256	1000	true	true
k141_10882	1137	2	ASV507.9	908	ASV507.11	905	1000	false	true
k141_10884	1353	2	ASV486.6	1353	ASV476.8	1353	1000	true	true
k141_10885	3352	2	ASV153.8	3352	ASV102.10	3352	1000	true	true
k141_10886	1122	2	ASV153.8	1122	ASV102.10	1122	1000	true	true
k141_10887	1996	1	ASV300.8	1996		0	1000	false	true
k141_1089	1121	2	ASV507.0	1121	ASV507.1	1069	1000	true	true
k141_10894	1254	1	ASV406.4	1254		0	1000	false	true
k141_10899	1523	1	ASV387.0	1523		0	1000	false	true
k141_1090	5468	2	ASV153.8	5053	ASV102.10	5053	1000	true	true
k141_10900	1447	2	ASV153.8	1447	ASV102.10	1447	1000	true	true
k141_10907	4169	1	ASV387.0	4169		0	1000	false	true
k141_10908	1103	2	ASV486.6	1103	ASV476.8	1103	1000	true	true
k141_10913	2380	1	ASV300.8	2380		0	1000	false	true
k141_10915	1003	1	ASV579.0	1003		0	1000	false	true
k141_10918	3178	2	ASV153.8	3178	ASV102.10	3178	1000	true	true
k141_1092	1199	2	ASV153.8	1199	ASV102.10	1199	1000	true	true
k141_10923	1487	2	ASV476.8	1487	ASV486.6	1486	1000	true	true
k141_10926	1229	2	ASV486.6	1167	ASV476.8	1148	1000	true	true
k141_10929	2057	1	ASV487.10	2057		0	1000	false	true
k141_1093	1138	1	ASV579.0	1138		0	1000	false	true
k141_10932	1124	1	ASV579.0	1124		0	1000	false	true
k141_10936	1165	1	ASV387.0	951		0	1000	false	true
k141_10937	1176	1	ASV487.10	1176		0	1000	false	true
k141_10941	4786	2	ASV153.8	4786	ASV102.10	4786	1000	true	true
k141_10943	3644	1	ASV487.10	3644		0	1000	false	true
k141_10947	1045	1	ASV266.11	1045		0	1000	false	true
k141_10948	2239	2	ASV476.8	2239	ASV486.6	2234	1000	true	true
k141_10951	2036	2	ASV153.8	2036	ASV102.10	2036	1000	true	true
k141_10952	1386	2	ASV153.8	1295	ASV102.10	1295	1000	true	true
k141_10953	1419	1	ASV300.8	1359		0	1000	false	true
k141_10954	1381	1	ASV579.0	1381		0	1000	false	true
k141_10955	1210	2	ASV507.11	1210	ASV507.9	1187	1000	true	true
k141_10963	1199	2	ASV476.8	1199	ASV486.6	1178	1000	true	true
k141_10964	2315	2	ASV153.8	2315	ASV102.10	2315	1000	true	true
k141_10965	2044	2	ASV153.8	2044	ASV102.10	2037	1000	true	true
k141_10968	1188	1	ASV476.8	1188		0	1000	false	true
k141_10969	3026	2	ASV507.9	3026	ASV507.11	3026	1000	true	true
k141_10971	6847	1	ASV102.10	6670		0	1000	false	true
k141_10972	1462	2	ASV153.8	1462	ASV102.10	1462	1000	true	true
k141_10973	1973	2	ASV102.10	1973	ASV153.8	1803	1000	true	true
k141_10981	1483	3	ASV507.0	1483	ASV507.11	1107	1000	true	true
k141_10990	1263	1	ASV300.8	1263		0	1000	false	true
k141_10996	3102	2	ASV102.10	2931	ASV153.8	2874	1000	true	true
k141_10997	1557	1	ASV579.0	1557		0	1000	false	true
k141_1100	1654	1	ASV579.0	1654		0	1000	false	true
k141_11002	2844	1	ASV102.10	2844		0	1000	false	true
k141_11011	7110	2	ASV153.8	7110	ASV102.10	7110	1000	true	true
k141_11013	2061	1	ASV487.10	2061		0	1000	false	true
k141_11018	1148	1	ASV579.0	1148		0	1000	false	true
k141_11022	1878	1	ASV300.8	1878		0	1000	false	true
k141_11024	1427	2	ASV153.8	1427	ASV102.10	1427	1000	true	true
k141_11025	1405	2	hvASV37.6	996	hvASV20.3	895	1000	false	true
k141_11028	1511	3	ASV507.11	1511	ASV507.3	1453	1000	true	true
k141_11030	1867	1	ASV300.8	1867		0	1000	false	true
k141_11035	2982	2	ASV102.10	2982	ASV153.8	2580	1000	true	true
k141_11037	3376	1	ASV300.8	3376		0	1000	false	true
k141_11039	1394	1	ASV579.0	1394		0	1000	false	true
k141_11042	3952	2	ASV507.11	3952	ASV507.9	3511	1000	true	true
k141_11046	1265	3	ASV507.9	775	ASV507.3	560	1000	false	true
k141_11047	6655	1	ASV387.0	6655		0	1000	false	true
k141_1106	1044	1	ASV300.8	1044		0	1000	false	true
k141_11065	1571	2	ASV486.6	1571	ASV476.8	1571	1000	true	true
k141_11070	2456	1	ASV487.10	2456		0	1000	false	true
k141_11073	1438	2	ASV153.8	1438	ASV102.10	1438	1000	true	true
k141_11078	2559	2	ASV476.8	2559	ASV486.6	2547	1000	true	true
k141_1108	8654	1	ASV387.0	8654		0	1000	false	true
k141_11088	1274	3	ASV150.14	1010	ASV153.8	871	1000	false	true
k141_11089	2225	1	ASV300.8	2225		0	1000	false	true
k141_11091	1804	2	ASV486.6	1804	ASV476.8	1804	1000	true	true
k141_11092	1645	1	ASV300.8	1645		0	1000	false	true
k141_11093	3702	1	ASV487.10	3702		0	1000	false	true
k141_11096	1637	2	ASV102.10	1637	ASV153.8	1570	1000	true	true
k141_111	2370	2	ASV486.6	2370	ASV476.8	2370	1000	true	true
k141_1110	1125	2	ASV153.8	1125	ASV102.10	1125	1000	true	true
k141_11101	1344	1	vASV60.0	1344		0	1000	false	true
k141_11105	5131	1	ASV487.10	5131		0	1000	false	true
k141_11107	1634	2	ASV486.6	1634	ASV476.8	1634	1000	true	true
k141_1111	1078	1	ASV399.6	1078		0	1000	false	true
k141_11110	2069	3	ASV507.3	2044	ASV507.1	1982	1000	true	true
k141_11111	2136	1	ASV300.8	2136		0	1000	false	true
k141_11115	1239	2	ASV507.9	1239	ASV507.11	1239	1000	true	true
k141_11121	1665	2	ASV507.3	1665	ASV507.1	1665	1000	true	true
k141_11126	5121	1	ASV300.8	5121		0	1000	false	true
k141_11128	1137	2	ASV507.11	1137	ASV507.9	1114	1000	true	true
k141_1113	3472	1	ASV487.10	3469		0	1000	false	true
k141_11132	2115	1	ASV102.10	2101		0	1000	false	true
k141_11135	2995	1	ASV487.10	2986		0	1000	false	true
k141_1114	1318	1	ASV507.11	1318		0	1000	false	true
k141_11140	1211	2	ASV507.0	1211	ASV507.1	1198	1000	true	true
k141_11143	1114	2	vASV47.0	1114	vASV11.3	1114	1000	true	true
k141_11150	1060	1	ASV406.4	1060		0	1000	false	true
k141_11154	1292	1	ASV579.0	1292		0	1000	false	true
k141_11158	1484	2	ASV153.8	1484	ASV102.10	1484	1000	true	true
k141_1116	1240	1	ASV300.8	1240		0	1000	false	true
k141_11160	1064	1	ASV426.8	1064		0	1000	false	true
k141_11162	1459	1	ASV579.0	1459		0	1000	false	true
k141_11163	1196	2	ASV153.8	1196	ASV102.10	1196	1000	true	true
k141_11166	2960	1	ASV387.0	2960		0	1000	false	true
k141_11171	1201	1	ASV579.0	1201		0	1000	false	true
k141_11175	1166	2	ASV507.0	1163	ASV507.1	1141	1000	true	true
k141_11176	2356	2	ASV102.10	2356	ASV153.8	2223	1000	true	true
k141_1118	1017	2	ASV153.8	1017	ASV102.10	1017	1000	true	true
k141_11180	4816	2	ASV153.8	4816	ASV102.10	4816	1000	true	true
k141_11184	2151	1	ASV300.8	2151		0	1000	false	true
k141_11187	1096	1	ASV387.0	1096		0	1000	false	true
k141_11188	1086	2	ASV486.6	1086	ASV476.8	1086	1000	true	true
k141_11189	2768	2	ASV102.10	2341	ASV153.8	2333	1000	true	true
k141_11191	1099	1	ASV487.10	1099		0	1000	false	true
k141_11195	1823	1	ASV300.8	1823		0	1000	false	true
k141_11201	3080	2	ASV102.10	3080	ASV153.8	3068	1000	true	true
k141_11203	1542	1	ASV300.8	1542		0	1000	false	true
k141_11209	1051	2	ASV507.9	1038	ASV507.11	902	1000	false	true
k141_11214	1602	2	ASV102.10	1602	ASV153.8	1592	1000	true	true
k141_11217	2799	1	ASV300.8	2799		0	1000	false	true
k141_1122	1062	2	ASV486.6	1062	ASV476.8	1062	1000	true	true
k141_11224	1380	1	ASV406.4	1380		0	1000	false	true
k141_11226	1611	1	ASV487.10	1611		0	1000	false	true
